imie;nazwisko;plec(KM);ocena;email
Agata;Kowalska;K;4;abc@op.pl
Pawel;Abacki;M;5;abc1@op.pl
Piotr;Cabacki;M;2;abc2@wp.pl
Mateusz;Babacki;M;3;abc3@op.com
Olga;Nowak;K;3;abc4@gmail.pl
Anna;Adamek;K;3;abc5@op.pl
Anna;Adamczyk;K;3;abc6@op.pl
Monika;Mazur;K;5;abc7@outlook.com
Tadeusz;Krzak;M;5;abc8@vp.pl
Mariola;Mazur;K;4;abc9@interia.pl
Michal;Kowalski;M;5;abc10@op.pl
Pawel;Socha;M;4;abc11@gmail.pl
Wiktor;Kowalski;M;4;abc12@gmail.pl
Karol;Seba;M;2;abc13@wp.pl
Marlena;Kot;K;2;
Jolanta;Pies;K;3;abc15@outlook.com
Zbigniew;Pies;M;3;
Dariusz;Nowakowski;M;3;abc17@wp.pl
Dominika;Gaweda;K;3;abc18@gmail.pl
Dagmara;Sokal;K;4;abc19@gmail.com
Karol;Kozidrak;M;4;
Konrad;Jukatan;M;4;abc21@interia.pl
Patryk;Rural;M;4;abc22@vp.pl
Kamil;Anders;M;4;abc23@vp.pl
Marlena;Nowak;K;4;abc24@hotmail.com
Bogdan;Cebula;M;5;abc25@hotmail.om
Michal;Mak;M;4;abc26@hotmail.com
Marek;Rak;M;5;abc27@op.pl
Mariusz;Krzaczek;M;4;
Edyta;Katar;K;5;abc29@gmail.pl
